182-04-7814 09FEB99 530 04MAY99 610
302-57-5023 09FEB99 480 04MAY99 530
123-89-8470 09FEB99 560 04MAY99 570 13JUL99 610
152-64-0014 09FEB99 780
813-63-7456 09FEB99 790
186-79-3143 09FEB99 670
187-46-5981 09FEB99 510 04MAY99 590
879-41-3513 09FEB99 600
891-72-6989 09FEB99 490 04MAY99 540 13JUL99 600
816-74-1456 09FEB99 620
168-41-8671 09FEB99 550 04MAY99 610
185-05-8749 09FEB99 650
518-18-5024 09FEB99 720
583-12-1458 09FEB99 780
845-17-8145 09FEB99 640 04MAY99 600 13JUL99 660
542-79-3458 09FEB99 710
125-78-2853 09FEB99 770
528-75-1378 09FEB99 680 04MAY99 700
549-37-1542 09FEB99 590 04MAY99 630
345-97-4239 09FEB99 730
